Année,Mois,Cas déclarés,Hospitalisations,Décès,Pays
2020,1,5122,2626,202,France
2020,1,9471,148,542,Espagne
2020,1,13946,2752,231,Italie
2020,1,3038,383,363,Allemagne
2020,1,14751,1744,14,Belgique
2020,2,7796,39,194,France
2020,2,2724,2035,154,Espagne
2020,2,2064,2087,680,Italie
2020,2,14878,2727,489,Allemagne
2020,2,1249,1488,322,Belgique
2020,3,5157,1641,373,France
2020,3,4766,211,908,Espagne
2020,3,9727,1694,304,Italie
2020,3,12440,1662,610,Allemagne
2020,3,2920,2434,211,Belgique
2020,4,12378,600,532,France
2020,4,5455,1388,198,Espagne
2020,4,11268,2230,333,Italie
2020,4,6404,469,373,Allemagne
2020,4,13160,2506,943,Belgique
2020,5,14175,125,75,France
2020,5,14342,2777,275,Espagne
2020,5,4674,712,422,Italie
2020,5,4981,256,91,Allemagne
2020,5,1265,706,94,Belgique
2020,6,8462,1756,280,France
2020,6,8049,1726,384,Espagne
2020,6,11844,2877,285,Italie
2020,6,455,1498,822,Allemagne
2020,6,9840,1043,489,Belgique
2020,7,10149,1264,9,France
2020,7,7066,617,652,Espagne
2020,7,10244,2750,55,Italie
2020,7,8496,2464,716,Allemagne
2020,7,11138,471,803,Belgique
2020,8,450,2228,407,France
2020,8,9101,2361,188,Espagne
2020,8,6101,1318,737,Italie
2020,8,6447,599,770,Allemagne
2020,8,3755,936,244,Belgique
2020,9,3551,862,620,France
2020,9,3596,1966,138,Espagne
2020,9,6397,2112,302,Italie
2020,9,8726,511,131,Allemagne
2020,9,14367,1241,378,Belgique
2020,10,12497,2309,798,France
2020,10,11897,639,235,Espagne
2020,10,14578,195,857,Italie
2020,10,4635,220,28,Allemagne
2020,10,14606,2305,707,Belgique
2020,11,12223,584,22,France
2020,11,7319,1350,208,Espagne
2020,11,4750,2907,170,Italie
2020,11,10793,2441,854,Allemagne
2020,11,10729,1085,582,Belgique
2020,12,7489,2857,457,France
2020,12,13449,1659,171,Espagne
2020,12,4173,1889,555,Italie
2020,12,10581,761,113,Allemagne
2020,12,769,1849,761,Belgique
2021,1,7238,1016,524,France
2021,1,6115,1032,899,Espagne
2021,1,6065,1471,451,Italie
2021,1,1307,2874,647,Allemagne
2021,1,14236,816,908,Belgique
2021,2,7426,1620,89,France
2021,2,3432,1688,822,Espagne
2021,2,5763,2792,629,Italie
2021,2,10459,1336,432,Allemagne
2021,2,1884,1336,58,Belgique
2021,3,9831,315,319,France
2021,3,9554,2631,6,Espagne
2021,3,7026,1318,531,Italie
2021,3,773,1998,557,Allemagne
2021,3,7851,1814,382,Belgique
2021,4,3508,1461,470,France
2021,4,4333,136,911,Espagne
2021,4,2021,1979,495,Italie
2021,4,3109,91,610,Allemagne
2021,4,11294,1095,249,Belgique
2021,5,8329,290,994,France
2021,5,422,910,397,Espagne
2021,5,1582,1671,214,Italie
2021,5,1336,1122,630,Allemagne
2021,5,2509,1255,14,Belgique
2021,6,7002,1335,170,France
2021,6,14133,1810,531,Espagne
2021,6,3405,577,42,Italie
2021,6,10591,636,349,Allemagne
2021,6,4747,863,725,Belgique
2021,7,13972,2089,867,France
2021,7,10779,2762,923,Espagne
2021,7,8919,1463,547,Italie
2021,7,6845,477,221,Allemagne
2021,7,4893,320,410,Belgique
2021,8,4229,2010,807,France
