Année,Mois,Cas déclarés,Hospitalisations,Décès,Pays
2020,1,1589,294,28,France
2020,1,378,500,55,Espagne
2020,1,2263,368,40,Italie
2020,1,152,283,24,Allemagne
2020,1,85,83,26,Belgique
2020,2,1347,380,83,France
2020,2,2995,499,10,Espagne
2020,2,2080,274,57,Italie
2020,2,1842,382,83,Allemagne
2020,2,1569,490,38,Belgique
2020,3,1997,111,89,France
2020,3,1553,497,9,Espagne
2020,3,1355,19,56,Italie
2020,3,789,129,81,Allemagne
2020,3,718,472,22,Belgique
2020,4,369,130,71,France
2020,4,2481,181,97,Espagne
2020,4,1039,345,35,Italie
2020,4,2947,162,91,Allemagne
2020,4,1744,117,28,Belgique
2020,5,1659,345,46,France
2020,5,1965,490,66,Espagne
2020,5,433,420,57,Italie
2020,5,2185,479,75,Allemagne
2020,5,2099,364,17,Belgique
2020,6,2439,302,51,France
2020,6,1715,381,14,Espagne
2020,6,176,383,66,Italie
2020,6,1542,381,67,Allemagne
2020,6,2190,56,92,Belgique
2020,7,1710,280,83,France
2020,7,2219,268,12,Espagne
2020,7,2154,429,10,Italie
2020,7,2475,32,66,Allemagne
2020,7,1599,38,46,Belgique
2020,8,2034,44,34,France
2020,8,99,45,100,Espagne
2020,8,1878,470,100,Italie
2020,8,1488,477,46,Allemagne
2020,8,1269,281,42,Belgique
2020,9,2774,304,68,France
2020,9,2539,242,15,Espagne
2020,9,554,88,94,Italie
2020,9,988,461,94,Allemagne
2020,9,551,317,9,Belgique
2020,10,2330,295,57,France
2020,10,176,154,74,Espagne
2020,10,560,223,33,Italie
2020,10,1038,404,83,Allemagne
2020,10,1488,53,100,Belgique
2020,11,1388,250,96,France
2020,11,1055,322,83,Espagne
2020,11,352,224,70,Italie
2020,11,662,322,69,Allemagne
2020,11,2168,267,45,Belgique
2020,12,234,284,4,France
2020,12,2633,304,11,Espagne
2020,12,2466,63,52,Italie
2020,12,1292,392,71,Allemagne
2020,12,2663,418,26,Belgique
2021,1,1619,292,79,France
2021,1,2970,322,85,Espagne
2021,1,1540,104,98,Italie
2021,1,2452,49,36,Allemagne
2021,1,471,485,11,Belgique
2021,2,683,242,48,France
2021,2,347,259,84,Espagne
2021,2,2079,10,63,Italie
2021,2,1329,450,80,Allemagne
2021,2,1957,392,76,Belgique
2021,3,2608,79,43,France
2021,3,1561,303,85,Espagne
2021,3,1922,302,79,Italie
2021,3,410,327,80,Allemagne
2021,3,2717,288,14,Belgique
2021,4,829,468,36,France
2021,4,2457,207,76,Espagne
2021,4,1520,291,0,Italie
2021,4,259,446,62,Allemagne
2021,4,1938,417,86,Belgique
2021,5,2445,152,91,France
2021,5,2902,360,57,Espagne
2021,5,1757,214,29,Italie
2021,5,2218,100,55,Allemagne
2021,5,1083,271,46,Belgique
2021,6,1349,321,74,France
2021,6,2241,284,17,Espagne
2021,6,202,94,51,Italie
2021,6,1281,212,63,Allemagne
