Année,Mois,Cas déclarés,Hospitalisations,Décès,Pays
2020,1,2308,459,164,France
2020,1,6166,283,171,Espagne
2020,1,3958,601,89,Italie
2020,1,4209,672,268,Allemagne
2020,1,4717,869,88,Belgique
2020,2,4422,350,194,France
2020,2,4707,73,71,Espagne
2020,2,5699,170,152,Italie
2020,2,720,555,249,Allemagne
2020,2,5448,92,189,Belgique
2020,3,311,794,51,France
2020,3,4182,314,226,Espagne
2020,3,3147,570,96,Italie
2020,3,5594,79,88,Allemagne
2020,3,3855,940,273,Belgique
2020,4,2347,752,221,France
2020,4,721,678,45,Espagne
2020,4,3917,677,134,Italie
2020,4,4381,923,146,Allemagne
2020,4,768,95,161,Belgique
2020,5,3900,756,180,France
2020,5,4594,665,75,Espagne
2020,5,6103,394,218,Italie
2020,5,5799,610,222,Allemagne
2020,5,2227,242,17,Belgique
2020,6,6459,245,19,France
2020,6,4482,704,202,Espagne
2020,6,1488,330,10,Italie
2020,6,2227,289,26,Allemagne
2020,6,6559,847,298,Belgique
2020,7,1970,942,114,France
2020,7,936,47,177,Espagne
2020,7,3241,278,156,Italie
2020,7,294,396,22,Allemagne
2020,7,965,688,206,Belgique
2020,8,2147,793,238,France
2020,8,2251,486,101,Espagne
2020,8,4000,728,193,Italie
2020,8,2185,382,133,Allemagne
2020,8,2670,570,226,Belgique
2020,9,3326,872,266,France
2020,9,1246,547,266,Espagne
2020,9,2659,771,288,Italie
2020,9,1668,634,228,Allemagne
2020,9,6997,968,194,Belgique
2020,10,1871,286,183,France
2020,10,2647,211,124,Espagne
2020,10,5228,614,118,Italie
2020,10,3568,132,29,Allemagne
2020,10,5493,711,36,Belgique
2020,11,2784,306,18,France
2020,11,3524,501,188,Espagne
2020,11,2679,496,157,Italie
2020,11,6621,533,157,Allemagne
2020,11,203,176,249,Belgique
2020,12,3048,344,152,France
2020,12,5772,646,296,Espagne
2020,12,5125,202,133,Italie
2020,12,6293,492,57,Allemagne
2020,12,2249,892,236,Belgique
2021,1,1417,763,109,France
2021,1,6964,27,300,Espagne
2021,1,930,720,44,Italie
2021,1,4094,103,171,Allemagne
2021,1,5078,842,107,Belgique
2021,2,5482,688,108,France
2021,2,4515,144,194,Espagne
2021,2,4658,521,218,Italie
2021,2,6064,218,171,Allemagne
2021,2,4057,31,113,Belgique
2021,3,4990,198,274,France
2021,3,880,922,94,Espagne
2021,3,3516,782,282,Italie
2021,3,4257,177,169,Allemagne
2021,3,3531,13,130,Belgique
2021,4,5087,865,236,France
2021,4,1525,625,277,Espagne
2021,4,3697,94,26,Italie
2021,4,1390,265,219,Allemagne
2021,4,604,164,278,Belgique
2021,5,3459,272,57,France
2021,5,1403,614,99,Espagne
2021,5,3983,812,106,Italie
2021,5,6772,370,281,Allemagne
2021,5,3547,920,203,Belgique
2021,6,3617,893,121,France
2021,6,1448,495,238,Espagne
2021,6,996,179,46,Italie
2021,6,6978,880,116,Allemagne
2021,6,3308,464,204,Belgique
2021,7,6621,994,28,France
2021,7,6847,799,20,Espagne
2021,7,3232,631,197,Italie
2021,7,2477,506,57,Allemagne
2021,7,6057,769,41,Belgique
2021,8,3287,676,152,France
2021,8,3526,725,71,Espagne
2021,8,2462,934,288,Italie
2021,8,5277,814,180,Allemagne
2021,8,6573,592,147,Belgique
2021,9,3720,989,72,France
2021,9,2052,61,215,Espagne
2021,9,2673,623,207,Italie
2021,9,1447,240,264,Allemagne
2021,9,1904,167,212,Belgique
2021,10,6481,74,37,France
2021,10,4154,761,49,Espagne
2021,10,4913,324,133,Italie
2021,10,489,813,114,Allemagne
2021,10,6485,742,153,Belgique
2021,11,3962,257,287,France
2021,11,6430,991,58,Espagne
2021,11,6176,702,146,Italie
2021,11,3980,122,278,Allemagne
2021,11,773,860,23,Belgique
2021,12,1518,728,45,France
2021,12,2821,905,216,Espagne
2021,12,4294,994,260,Italie
2021,12,4789,827,205,Allemagne
2021,12,5176,569,286,Belgique
2022,1,908,386,93,France
2022,1,1428,435,62,Espagne
2022,1,4469,753,121,Italie
2022,1,6739,265,129,Allemagne
2022,1,5133,896,145,Belgique
2022,2,4814,483,8,France
2022,2,4479,992,69,Espagne
2022,2,5209,153,160,Italie
2022,2,5258,755,167,Allemagne
2022,2,4118,752,44,Belgique
2022,3,1974,585,269,France
2022,3,1011,860,224,Espagne
2022,3,2021,358,169,Italie
2022,3,6097,576,33,Allemagne
2022,3,5306,211,167,Belgique
2022,4,5731,191,201,France
2022,4,1649,392,189,Espagne
2022,4,5315,346,16,Italie
2022,4,5145,207,260,Allemagne
2022,4,1608,308,95,Belgique
2022,5,5850,967,148,France
2022,5,3533,905,45,Espagne
2022,5,2695,862,107,Italie
2022,5,3978,415,282,Allemagne
2022,5,4042,39,259,Belgique
2022,6,766,838,229,France
2022,6,2307,921,293,Espagne
2022,6,6434,327,85,Italie
